	?股票代码	?股票简称	?申购代码	?发行总数（万股）	?网上发行（万股）	?申购上限（万股）	?发行价格	?发行市盈率	?行业市盈率	?申购日期	?冻结资金（亿元）	?询价累计报价倍数	?中签率（%）	?每中一签（万元）	?中签号	?上市日期	?打新收益（元）	?涨停数量	新股详情	收益率/%
122	2755	东方新星	2755	2534	2280	1	7.49	20.49	24.89	05-06周三	540	163	0.32	119	查看	15-May	26270	18	详细?公告	2.21
123	300450	先导股份	300450	1700	1530	0.65	21.21	22.98	56.63	05-06周三	683	176	0.47	224	查看	18-May	59565	16	详细?公告	2.66
124	603022	新通联	732022	2000	1800	0.8	14.31	22.98	78.41	05-06周三	713	144	0.36	397	查看	18-May	69690	15	详细?公告	1.76
125	603227	雪峰科技	732227	8235	7411	3.2	4.98	22.95	52.34	05-06周三	1239	173	0.3	167	查看	15-May	34940	18	详细?公告	2.09
126	603718	海利生物	732718	7000	6300	2.8	6.81	21.28	57.07	05-06周三	1393	148	0.31	221	查看	15-May	47760	18	详细?公告	2.16
127	603311	金海环境	732311	5250	4725	2.1	5.39	22.99	57.13	05-07周四	850	212	0.3	180	查看	18-May	38610	23	详细?公告	2.15
128	603989	艾华集团	732989	5000	4500	2	20.74	22.99	70.82	05-07周四	1456	145	0.64	324	查看	15-May	82430	13	详细?公告	2.54
129	2753	永东股份	2753	2470	2223	0.95	13.56	22.99	52.34	05-07周四	729	186	0.41	164	查看	19-May	30310	14	详细?公告	1.85
130	603968	醋化股份	732968	2556	2300	1	19.58	22.98	52.34	05-07周四	775	184	0.58	337	查看	18-May	77400	14	详细?公告	2.30
131	603566	普莱柯	732566	4000	3600	1.6	15.52	18.89	57.07	05-07周四	1104	205	0.51	307	查看	18-May	69390	14	详细?公告	2.26
132	300461	田中精机	300461	1668	1501	0.65	7.92	22.98	58.14	05-11周一	961	319	0.12	320	查看	19-May	34390	20	详细?公告	1.07
133	300468	四方精创	300468	2500	2250	1	18.76	22.98	141.23	05-19周二	1554	254	0.27	345	查看	27-May	47055	16	详细?公告	1.36
134	603598	引力传媒	732598	3334	3000	1.2	7.2	22.96	67.49	05-19周二	1277	291	0.17	426	查看	27-May	36140	16	详细?公告	0.85
135	300467	迅游科技	300467	1000	900	0.4	33.75	22.99	205.65	05-19周二	1544	336	0.2	858	查看	27-May	84650	16	详细?公告	0.99
136	300466	赛摩电气	300466	2000	1800	0.8	10.25	22.99	85.53	05-19周二	595	160	0.31	165	查看	28-May	22920	15	详细?公告	1.39
137	603885	吉祥航空	732885	6800	6120	2	11.18	22.98	36.71	05-19周二	2236	213	0.31	365	查看	27-May	56070	16	详细?公告	1.54
138	300463	迈克生物	300463	4650	3375	1.85	27.96	22.99	58.68	05-19周二	2930	184	0.32	434	查看	28-May	55535	13	详细?公告	1.28
139	300462	华铭智能	300462	1722	1549	0.5	14.25	22.97	66.24	05-19周二	622	193	0.35	201	查看	27-May	35720	15	详细?公告	1.78
140	2758	华通医药	2758	1400	1260	0.55	18.04	22.98	54.12	05-19周二	886	181	0.26	352	查看	27-May	40305	14	详细?公告	1.15
141	2757	南兴装备	2757	2734	2460	1.05	12.94	22.98	66.24	05-19周二	983	155	0.32	200	查看	27-May	28895	14	详细?公告	1.44
142	2759	天际股份	2759	2400	2160	0.95	12.02	20.16	42.94	05-19周二	825	148	0.31	191	查看	28-May	23490	14	详细?公告	1.23
143	603108	润达医疗	732108	2360	2124	0.8	17	22.97	54.12	05-19周二	1290	252	0.28	607	查看	27-May	71400	15	详细?公告	1.18
144	603023	威帝股份	732023	2000	1800	0.8	13.25	14.46	71.55	05-19周二	901	221	0.26	501	查看	27-May	63750	15	详细?公告	1.27
145	603568	伟明环保	732568	4580	4122	1.3	11.27	22.97	77.88	05-20周三	1008	215	0.46	245	查看	28-May	42730	14	详细?公告	1.74
146	603669	灵康药业	732669	6500	5850	2.6	11.7	22.98	58.68	05-20周三	1653	188	0.41	283	查看	28-May	44700	14	详细?公告	1.58
147	603901	永创智能	732901	2500	2250	1	15.81	22.91	66.24	05-20周三	1016	169	0.35	452	查看	29-May	61190	13	详细?公告	1.35
148	300465	高伟达	300465	3334	3000	1.2	11.26	22.93	141.23	05-20周三	1145	284	0.3	191	查看	28-May	25135	15	详细?公告	1.32
149	603918	金桥信息	732918	2200	1980	0.8	9.5	22.99	141.23	05-20周三	882	245	0.21	446	查看	28-May	42450	15	详细?公告	0.95
150	603300	华铁科技	732300	5067	4560	2	8.22	22.98	0	05-20周三	1007	177	0.37	221	查看	29-May	32660	13	详细?公告	1.48
151	603198	迎驾贡酒	732198	8000	7200	2.4	11.8	19.4	21.76	05-20周三	1213	152	0.7	169	查看	28-May	28270	9	详细?公告	1.67
152	603026	石大胜华	732026	5068	4561	1.8	6.51	32.55	53.34	05-21周四	1004	258	0.3	220	查看	29-May	25840	14	详细?公告	1.17
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
